City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
343,Verkhnevilyuysk,63.45,120.32,28.49,92,0,4.63,RU,2020-05-10 20:48:23,clear sky,0.0,0.0
344,Rodrigues Alves,-7.74,-72.65,84.6,66,67,1.83,BR,2020-05-10 20:48:23,broken clouds,0.0,0.0
345,Verkh-Usugli,52.7,115.17,35.85,75,31,11.12,RU,2020-05-10 20:48:23,scattered clouds,0.0,0.0
346,Praya,14.92,-23.51,75.2,69,20,16.11,CV,2020-05-10 20:48:23,few clouds,0.0,0.0
347,Port Lincoln,-34.73,135.87,53.44,70,0,8.77,AU,2020-05-10 20:48:24,clear sky,0.0,0.0
348,Davila,18.47,120.58,81.19,77,30,9.19,PH,2020-05-10 20:48:24,scattered clouds,0.0,0.0
349,Inhambane,-23.86,35.38,69.06,77,20,7.54,MZ,2020-05-10 20:48:24,few clouds,0.0,0.0
350,Solnechnyy,50.72,136.63,44.01,85,100,8.32,RU,2020-05-10 20:48:24,overcast clouds,0.0,0.0
351,Macapa,0.04,-51.07,86.0,79,40,6.93,BR,2020-05-10 20:48:24,scattered clouds,0.0,0.0
352,Saint George,37.1,-113.58,91.0,14,1,8.05,US,2020-05-10 20:48:25,clear sky,0.0,0.0
353,Santa Ana,33.75,-117.87,78.01,57,75,10.29,US,2020-05-10 20:48:25,broken clouds,0.0,0.0
354,Solovetskiy,33.75,-117.87,78.01,57,75,10.29,US,2020-05-10 20:48:25,broken clouds,0.0,0.0
355,Nuuk,64.18,-51.72,41.0,80,100,14.99,GL,2020-05-10 20:48:25,overcast clouds,0.0,0.0
356,Liwale,-9.77,37.93,67.66,76,7,3.6,TZ,2020-05-10 20:48:25,clear sky,0.0,0.0
357,Inta,66.03,60.17,34.03,96,27,0.89,RU,2020-05-10 20:48:25,scattered clouds,0.0,0.0
358,Visby,57.64,18.3,53.01,81,100,12.75,SE,2020-05-10 20:47:30,light intensity drizzle,0.0,0.0
359,Atar,20.52,-13.05,87.01,16,3,10.42,MR,2020-05-10 20:48:25,clear sky,0.0,0.0
360,Muzhi,65.37,64.67,40.3,92,94,8.7,RU,2020-05-10 20:48:26,overcast clouds,0.0,0.0
361,La Ronge,55.1,-105.28,39.2,32,75,6.93,CA,2020-05-10 20:48:26,broken clouds,0.0,0.0
362,Bengkulu,-3.8,102.27,76.05,90,100,3.78,ID,2020-05-10 20:48:26,overcast clouds,0.0,0.0
363,Goma,-1.68,29.22,64.06,80,92,3.49,CD,2020-05-10 20:48:26,overcast clouds,0.0,0.0
364,Namatanai,-3.67,152.43,81.88,76,89,6.69,PG,2020-05-10 20:48:26,overcast clouds,0.0,0.0
365,Kattivakkam,13.22,80.32,87.01,79,20,3.36,IN,2020-05-10 20:48:26,few clouds,0.0,0.0
366,Tiznit,29.58,-9.5,58.91,82,59,11.45,MA,2020-05-10 20:48:26,broken clouds,0.0,0.0
367,Naron,43.52,-8.15,60.01,87,20,1.12,ES,2020-05-10 20:48:27,few clouds,0.0,0.0
368,Faanui,-16.48,-151.75,81.21,81,100,12.46,PF,2020-05-10 20:48:27,light rain,0.0,0.0
369,George Town,5.41,100.34,78.8,94,40,4.7,MY,2020-05-10 20:48:27,scattered clouds,0.0,0.0
370,Kavieng,-2.57,150.8,83.8,80,19,11.16,PG,2020-05-10 20:48:27,few clouds,0.0,0.0
371,Thompson,55.74,-97.86,30.2,36,5,12.75,CA,2020-05-10 20:45:30,clear sky,0.0,0.0
372,Takhli,15.26,100.34,87.01,72,93,6.76,TH,2020-05-10 20:48:27,overcast clouds,0.0,0.0
373,Inverness,57.48,-4.22,39.2,69,86,11.41,GB,2020-05-10 20:44:01,overcast clouds,0.0,0.0
374,Mujiayingzi,42.12,118.78,46.58,47,0,12.41,CN,2020-05-10 20:48:28,clear sky,0.0,0.0
