City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Innisfail,-17.53,146.03,71.74,83,98,10.92,AU,2020-05-06 18:31:59
276,Cabo San Lucas,22.89,-109.91,88.0,44,5,2.24,MX,2020-05-06 18:31:59
277,Mocuba,-16.84,36.99,64.26,96,99,3.44,MZ,2020-05-06 18:31:59
278,Catabola,-12.15,17.28,64.09,67,1,3.24,AO,2020-05-06 18:31:59
279,Hauterive,46.09,3.45,66.2,59,0,8.05,FR,2020-05-06 18:31:59
280,Palu,-0.89,119.87,76.87,77,15,3.78,ID,2020-05-06 18:31:59
281,Mar Del Plata,-38.0,-57.56,57.99,62,75,13.87,AR,2020-05-06 18:29:53
282,Bodden Town,19.28,-81.25,89.6,70,75,6.93,KY,2020-05-06 18:31:59
283,Eyl,7.98,49.82,84.51,70,100,8.7,SO,2020-05-06 18:32:00
284,Nairobi,-1.28,36.82,68.0,88,75,16.11,KE,2020-05-06 18:28:32
285,Somerset East,-32.72,25.59,55.62,86,0,5.59,ZA,2020-05-06 18:32:00
286,Presidencia Roque Saenz Pena,-26.79,-60.44,66.52,36,0,10.0,AR,2020-05-06 18:32:00
287,Nicoya,10.15,-85.45,95.0,44,75,16.11,CR,2020-05-06 18:32:00
288,Sakakah,29.97,40.21,73.4,25,0,4.7,SA,2020-05-06 18:32:00
289,Qaqortoq,60.72,-46.03,46.4,70,75,6.93,GL,2020-05-06 18:32:01
290,Kahului,20.89,-156.47,77.0,61,20,4.7,US,2020-05-06 18:32:01
291,Sur,22.57,59.53,90.63,46,0,9.37,OM,2020-05-06 18:32:01
292,Narsaq,60.92,-46.05,46.4,70,75,6.93,GL,2020-05-06 18:29:10
293,Karauli,26.5,77.02,85.73,23,0,5.91,IN,2020-05-06 18:32:01
294,Souillac,-20.52,57.52,73.4,88,20,3.36,MU,2020-05-06 18:32:01
295,Sorong,-0.88,131.25,80.74,83,48,5.66,ID,2020-05-06 18:32:01
296,Yellandu,17.6,80.33,84.07,66,13,9.53,IN,2020-05-06 18:32:01
297,Del Rio,29.36,-100.9,80.6,39,40,6.93,US,2020-05-06 18:32:01
298,Ahuimanu,21.44,-157.84,82.4,54,40,10.29,US,2020-05-06 18:32:02
299,Dzaoudzi,-12.79,45.27,82.4,78,20,11.41,YT,2020-05-06 18:32:02
300,Port Hardy,50.7,-127.42,51.8,66,75,11.41,CA,2020-05-06 18:32:02
301,Joppatowne,39.46,-76.36,51.01,100,90,8.05,US,2020-05-06 18:32:02
302,Carlos Chagas,-17.7,-40.77,84.16,56,86,3.42,BR,2020-05-06 18:32:02
303,Puerto Quijarro,-17.78,-57.77,69.33,92,100,9.91,BO,2020-05-06 18:32:02
304,Markova,48.68,24.41,42.8,100,75,13.42,UA,2020-05-06 18:32:03
305,Arlit,18.74,7.39,89.74,10,0,9.31,NE,2020-05-06 18:32:03
